               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040567,            0.045689,           0.0070339,             0.90175,             0.83635,             0.91459,             0.61013,             0.03492,            0.024079,           0.0037179,            0.006535,            0.006535,            0.006535
                  37,            0.039264,            0.045216,           0.0072377,             0.89506,             0.84227,             0.91404,              0.6225,            0.035735,            0.024243,           0.0037634,            0.006436,            0.006436,            0.006436
                  38,            0.039349,             0.04535,            0.006529,              0.8924,             0.83136,             0.91321,             0.61634,            0.035259,            0.024194,           0.0038483,            0.006337,            0.006337,            0.006337
                  39,            0.040067,            0.044512,           0.0066627,             0.88098,             0.84048,             0.90406,             0.61819,            0.034805,             0.02466,           0.0038314,            0.006238,            0.006238,            0.006238
                  40,            0.037808,            0.043977,           0.0074102,             0.85916,             0.86566,             0.92143,             0.61693,            0.035711,            0.025233,            0.003751,            0.006139,            0.006139,            0.006139
                  41,            0.039273,            0.041914,           0.0071005,             0.85144,             0.87299,             0.91465,              0.6353,            0.034615,            0.024246,           0.0036495,             0.00604,             0.00604,             0.00604
                  42,            0.039795,            0.043028,           0.0066445,             0.84478,             0.87789,             0.92857,             0.63085,            0.034026,            0.024272,           0.0036606,            0.005941,            0.005941,            0.005941
                  43,             0.03659,            0.043305,           0.0063706,             0.84784,             0.89008,             0.93319,             0.64489,            0.033621,            0.023802,           0.0036413,            0.005842,            0.005842,            0.005842
                  44,            0.038577,             0.04394,           0.0071764,             0.86087,             0.88399,             0.93075,             0.60878,            0.034769,            0.023866,           0.0036349,            0.005743,            0.005743,            0.005743
                  45,            0.038619,            0.037102,           0.0068326,             0.88202,             0.86946,             0.93197,             0.63876,            0.033372,            0.023363,           0.0036173,            0.005644,            0.005644,            0.005644
                  46,            0.037097,            0.041416,            0.005888,             0.86733,             0.88132,             0.93004,             0.66028,            0.033245,            0.023238,           0.0035598,            0.005545,            0.005545,            0.005545
                  47,            0.035905,            0.040861,           0.0062427,             0.85209,             0.87877,             0.91359,             0.63757,            0.034615,            0.023254,           0.0035436,            0.005446,            0.005446,            0.005446
                  48,            0.037415,            0.038978,           0.0059729,             0.86301,             0.88059,             0.92191,             0.65029,            0.033176,            0.022828,           0.0035292,            0.005347,            0.005347,            0.005347
                  49,            0.036105,            0.039054,           0.0058055,             0.84953,             0.88599,             0.92318,             0.64268,            0.033357,            0.022665,           0.0034797,            0.005248,            0.005248,            0.005248
                  50,            0.036497,            0.037724,           0.0067076,             0.87086,             0.89314,             0.92794,              0.6507,            0.032631,            0.022527,             0.00346,            0.005149,            0.005149,            0.005149
                  51,            0.037315,            0.043371,           0.0066394,             0.84985,             0.90299,             0.92611,             0.65016,            0.032933,            0.022815,           0.0033778,             0.00505,             0.00505,             0.00505
                  52,             0.03711,            0.040674,           0.0057687,             0.85912,             0.90391,             0.92872,              0.6686,            0.031536,            0.022152,           0.0033377,            0.004951,            0.004951,            0.004951
                  53,            0.035064,            0.037787,           0.0061478,             0.90556,             0.88005,             0.94027,             0.67884,            0.031571,            0.021942,           0.0033165,            0.004852,            0.004852,            0.004852
